Type,Label,Identifier,Initials,Short Label,Summary,Chronological Position,Narrative Position,Color,Parent,Ongoing,Start Date,Latest Start Date,Duration,Earliest End Date,End Date,Tags,Blocked By,Blocks,Date Constraints,Links,Image (Links only),Relates to,Task Type,Priority
Task,"01 - Understand/Review: Vision, Mission, Strategy, Business Requirements, Market Research","TSK1",,,,1,,Denim,,False,2023-01-09 12:00,,"2 weeks",,2023-01-23 12:00,"Understand/Review","","TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1,TSK1","","",,"TSK2","Routine","High"
Task,"01 - Understand/Review: Current MVP and technology stack","TSK2",,,,2,,Denim,,False,2023-01-23 12:00,,"2 weeks",,2023-02-06 12:00,"Understand/Review","TSK1","TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2,TSK2","","",,"","Routine","High"
Task,"02 - Co-create & Co-develop: Investment/funding sources, relevant capital and resources availability - plan and strategies","TSK3",,,"",3,,Light Purple,,False,2023-02-06 12:00,,"2 weeks",,2023-02-20 12:00,"Co-create & Co-develop","TSK1,TSK2","TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3,TSK3","","",,"","",""
Task,"02 - Co-create & Co-develop: Business roadmap","TSK4",,,,4,,Light Purple,,False,2023-02-20 16:24,,"2 weeks",,2023-03-06 16:24,"Co-create & Co-develop","TSK1,TSK3,TSK2","TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4,TSK4","","",,"","",""
Task,"02 - Co-create & Co-develop: Technology roadmap","TSK5",,,,5,,Light Purple,,False,2023-03-06 16:24,,"0 seconds",,2023-03-06 16:24,"Co-create & Co-develop","TSK1,TSK3,TSK2,TSK4","TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5,TSK5","","",,"","",""
Task,"02 - Co-create & Co-develop: Resource allocation","TSK6",,,,6,,Light Purple,,False,2023-03-25 10:00,,"0 seconds",,2023-03-25 10:00,"Co-create & Co-develop","TSK1,TSK3,TSK2,TSK4,TSK5","TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6,TSK6","","",,"","",""
Task,"02 - Co-create & Co-develop: Feature prioritisation","TSK7",,,,7,,Light Purple,,False,2023-04-12 14:00,,"0 seconds",,2023-04-12 14:00,"Co-create & Co-develop","TSK1,TSK3,TSK4,TSK5,TSK2,TSK6","TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7,TSK7","","",,"","",""
Task,"02 - Co-Create & Co-develop: Define MVP scope","TSK8",,,,8,,Light Purple,,False,2023-04-30 07:00,,"0 seconds",,2023-04-30 07:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7","TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8,TSK8","","",,"","",""
Task,"02 - Co-create & Co-develop: Refine immediate term, short term, medium term, long term and far future strategies","TSK9",,,,9,,Light Purple,,False,2023-05-24 11:00,,"0 seconds",,2023-05-24 11:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8","TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9,TSK9","","",,"","",""
Task,"02 - Co-create & Co-develop: Perform feasibility analysis","TSK10",,,,10,,Light Purple,,False,2023-06-14 10:00,,"0 seconds",,2023-06-14 10:00,"Co-create & Co-develop","TSK1,TSK2,TSK3,TSK4,TSK5,TSK6,TSK7,TSK8,TSK9","TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10,TSK10","","",,"","",""
